ShipName,planet,coord_place,direction,password
LOСА-302,Голевард,70 -52,9 -6,АРДOСЛОГ
BНВB-560,Угариния,54 -73,-10 -9,НИЯНВАГУ
ЬSТА-367,Жезл Саурона,-35 -13,-7 1,ОНАSТЗЕЖ
OADС-556,Шамлария,0 0,-10 4,РИЯADМАШ
OFYB-294,Золотая Даль,-42 -3,-3 8,АЛЬFYЛОЗ
ХPВH-805,Жезл Саурона,-89 62,6 -3,ОНАPВЗЕЖ
VСЭT-405,Нейландия,74 -5,8 4,ДИЯСЭЙЕН
НLЙO-968,Наразиния,-5 1,-2 4,НИЯLЙРАН
БUВУ-873,Тальсария,-17 99,-1 1,РИЯUВЛАТ
СНRO-490,Мирондия,-88 60,-8 5,ДИЯНRРИМ
TТДI-935,Беренс,80 -83,4 -3,ЕНСТДРЕБ
НЦUК-690,Фангорн,94 80,-10 5,ОРНЦUНАФ
КNPE-304,Халасия,-80 -79,1 -8,СИЯNPЛАХ
ЖКDК-209,Ширифповерье,83 84,8 -5,РЬЕКDРИШ
ЭKFБ-921,Наразиния,0 0,1 -6,НИЯKFРАН
CZЭГ-887,Моргариан,-30 53,6 8,ИАНZЭРОМ
ЪTЬП-320,Валинор,-70 -44,-2 -7,НОРTЬЛАВ
TRYС-982,Арда,-59 77,9 9,РДАRYДРА
WПШЗ-61,Шадирия,-81 -8,-1 3,РИЯПШДАШ
МЭRU-259,Юэгусия,0 0,5 -6,СИЯЭRГЭЮ
BМVО-810,Золотонос,-8 -96,1 1,НОСМVЛОЗ
ЦLМК-937,Абеллио,-19 -26,-5 -2,ЛИОLМЕБА
MAFС-471,Лузия,77 -47,1 8,ЗИЯAFЗУЛ
BAMS-209,Харад,-75 -81,-6 6,РАДAMРАХ
FAОQ-722,Голевард,10 -77,-9 -5,АРДAОЛОГ
PШКЬ-178,Хилварика,-41 31,-4 -6,ИКАШКЛИХ
ГEYЪ-555,Гординия,99 -43,3 -6,НИЯEYРОГ
ЫVДQ-284,Острудария,-27 79,2 7,РИЯVДТСО
GRДA-175,Ясмария,-62 38,-6 -3,РИЯRДМСЯ
ЮЙНЭ-279,Нимасия,32 34,-8 8,СИЯЙНМИН
ООТГ-929,Цитрамор,0 17,3 -3,МОРОТТИЦ
BЭSD-149,Чавланшан,-76 -60,0 4,ШАНЭSВАЧ
ЦLРJ-393,Оладария,18 -83,6 8,РИЯLРАЛО
VBЬS-701,Яентарин,-59 -26,-4 4,РИНBЬНЕЯ
YСGV-462,Утопия,0 -20,9 -8,ПИЯСGОТУ
CФOЕ-853,Абеллио,-79 -87,-8 9,ЛИОФOЕБА
ЗПФБ-132,Идаллия,-87 -10,-9 -5,ЛИЯПФАДИ
РCUЛ-201,Ширифповерье,2 -52,-6 -4,РЬЕCUРИШ
ZGГЛ-684,Ривенделл,-24 -63,-9 -7,ЕЛЛGГВИР
AСBN-655,Шамлария,13 -86,-10 -8,РИЯСBМАШ
ZTЕC-122,Царкония,75 -29,3 9,НИЯTЕРАЦ
РEШZ-584,Голевард,-39 -74,-1 0,АРДEШЛОГ
ХЫВH-565,Сирмария,14 43,1 -7,РИЯЫВРИС
YJСУ-431,Саурон,31 -100,-6 -3,РОНJСУАС
BЛШБ-897,Праметия,-52 -19,0 -1,ТИЯЛШАРП
ФMЭE-210,Фарнслетия,-7 75,-7 6,ТИЯMЭРАФ
CVЬЗ-730,Дуин,-55 20,9 -1,УИНVЬИУД
ЛITD-778,Цитрамор,46 97,-6 -9,МОРITТИЦ
ДВTТ-686,Праметия,29 11,1 -5,ТИЯВTАРП
ИФZШ-969,Едор,-97 -64,-6 -7,ДОРФZОДЕ
KЬKШ-824,Цитрамор,-49 -87,-9 0,МОРЬKТИЦ
ЯЮOУ-188,Ривенделл,0 -61,-6 3,ЕЛЛЮOВИР
ЧOАИ-270,Южный кошмар,59 41,0 -6,МАРOАНЖЮ
AZBV-274,Фиринция,-51 54,-8 -7,ЦИЯZBРИФ
LIJЙ-879,Целиндия,-99 -68,-4 -7,ДИЯIJЛЕЦ
TGЫH-549,Жимрамир,-57 -34,5 8,МИРGЫМИЖ
ГKLS-231,Диасурия,30 82,0 -1,РИЯKLАИД
ЬSBЮ-217,Уриллион,79 14,-4 -10,ИОНSBИРУ
ЬЯJТ-431,Юхусия,-22 24,0 -8,СИЯЯJУХЮ
ЕХXT-899,Арда,30 14,8 -3,РДАХXДРА
БАЩX-551,Гондор,-39 90,1 6,ДОРАЩНОГ
BЖЛЩ-86,Харад,55 83,-3 -4,РАДЖЛРАХ
JQМЩ-656,Юэгусия,-54 25,9 -9,СИЯQМГЭЮ
ОИVА-767,Яскария,51 75,-8 -3,РИЯИVКСЯ
MEЧУ-99,Зуария,88 -26,-4 -7,РИЯEЧАУЗ
ФWДK-369,Лоркиндария,64 -3,-4 0,РИЯWДРОЛ
МCЩT-272,Услилка,25 61,-3 -2,ЛКАCЩЛСУ
ГВЫН-568,Тол-Арда,90 95,5 -3,РДАВЫЛОТ
ГЖPЪ-715,Ярость Горы,60 40,8 -2,ОРЫЖPОРЯ
ULMЦ-578,Лоркиндария,-56 -51,-4 -3,РИЯLMРОЛ
ФЦЗF-568,Фангорн,77 -17,2 -7,ОРНЦЗНАФ
ЭAАЭ-816,Мира,-20 37,-6 -1,ИРАAАРИМ
HNОЮ-871,Утопия,-30 86,0 -9,ПИЯNООТУ
ЭRЗЗ-646,Аглатосия,-5 -8,0 -5,СИЯRЗЛГА
ЗЮГТ-740,Праметия,75 96,7 3,ТИЯЮГАРП
СЩВA-750,Ясмария,60 11,0 -4,РИЯЩВМСЯ
KPЫД-433,Сирмария,-30 -81,-10 -7,РИЯPЫРИС
ЪMPД-305,Парадель,4 -91,-8 -10,ЕЛЬMPРАП
АФKO-611,Царкония,-40 -83,-3 -4,НИЯФKРАЦ
UСXД-311,Харантария,-57 -41,-9 5,РИЯСXРАХ
DXБЗ-272,Мира,-92 79,4 2,ИРАXБРИМ
IZNL-84,Моргариан,-79 93,-2 7,ИАНZNРОМ
ЗGQG-473,Ридайя,36 -81,1 -4,АЙЯGQДИР
VOЪЙ-952,Егана,-83 78,-6 1,АНАOЪАГЕ
HUРS-181,Есендария,-88 79,2 3,РИЯUРЕСЕ
ВTWВ-386,Жимрамир,-91 39,9 6,МИРTWМИЖ
XГYE-349,Варитор,-20 -1,6 7,ТОРГYРАВ
МCSП-434,Гординия,6 -67,-3 6,НИЯCSРОГ
FЬYЗ-289,Руэндария,-73 -93,8 -6,РИЯЬYЭУР
ЯЮHC-766,Зуария,-49 20,4 -5,РИЯЮHАУЗ
ЛFBX-178,Моргариан,41 -2,-8 -2,ИАНFBРОМ
ТLЕV-336,Сиалония,91 2,-4 5,НИЯLЕАИС
ЩQЧУ-140,Тибулония,0 0,4 -4,НИЯQЧБИТ
ЫRWГ-326,Королевство Эребора,-23 43,1 -8,ОРАRWРОК
ЫFНP-80,Ендария,60 -46,-7 -9,РИЯFНДНЕ
ТWТJ-576,Парадель,-13 -15,8 1,ЕЛЬWТРАП
УMAE-221,Парадель,82 -63,5 6,ЕЛЬMAРАП
NKФO-769,Мирфоний,50 -92,-4 -5,НИЙKФРИМ
ЙХJК-208,Идаллия,30 -89,-10 -9,ЛИЯХJАДИ
ЦАKV-491,Гондор,0 0,5 1,ДОРАKНОГ
